product,category,sub_category,brand,sale_price,rating
Garlic Oil - Vegetarian Capsule 500 mg,Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,220.0,4.1
Water Bottle - Orange,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,180.0,2.3
"Brass Angle Deep - Plain, No.2",Cleaning & Household,Pooja Needs,Trm,119.0,3.4
Cereal Flip Lid Container/Storage Jar - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,149.0,3.7
Creme Soft Soap - For Hands & Body,Beauty & Hygiene,Bath & Hand Wash,Nivea,162.0,4.4
Germ - Removal Multipurpose Wipes,Cleaning & Household,All Purpose Cleaners,Nature Protect,169.0,3.3
Multani Mati,Beauty & Hygiene,Skin Care,Satinance,58.0,3.6
Hand Sanitizer - 70% Alcohol Base,Beauty & Hygiene,Bath & Hand Wash,Bionova,250.0,4.0
Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Beauty & Hygiene,Hair Care,StBotanica,1098.0,3.5
"Scrub Pad - Anti- Bacterial, Regular",Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,20.0,4.3
Wheat Grass Powder - Raw,Gourmet & World Food,Cooking & Baking Needs,NUTRASHIL,261.0,4.0
Butter Cookies Gold Collection,Gourmet & World Food,Chocolates & Biscuits,Sapphire,600.0,2.2
"Face Wash - Oil Control, Active",Beauty & Hygiene,Skin Care,Oxy,110.0,5.0
Mold & Mildew Remover with Bleach,Cleaning & Household,All Purpose Cleaners,Clorox,350.0,3.8
Just Spray - Mosquito Repellent Room Spray,Cleaning & Household,Fresheners & Repellents,Herbal Strategi,200.0,4.2
Dove Plastic Soap Case - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,49.0,4.0
Smooth Skin Oil - For Dry Skin,Beauty & Hygiene,Skin Care,Aroma Treasures,324.0,5.0
Salted Pumpkin,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Graminway,180.0,4.9
Flax Seeds - Roasted,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,120.0,4.3
Organic Tofu - Soy Paneer,Gourmet & World Food,Dairy & Cheese,Murginns,85.14,3.9
Ceramic Barrel Brush - Colour May Vary,Beauty & Hygiene,Hair Care,Bronson Professional,525.0,4.2
Instant Noodles - Chicken Satay Flavor,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,45.0,4.1
Chia Seeds,"Foodgrains, Oil & Masala",Dry Fruits,NaturoBell,120.0,3.9
Cleanse Green Tea - Whole Leaf Loose Tea,Gourmet & World Food,Drinks & Beverages,Cambridge Tea Party,75.0,3.9
Veggie Cutter,"Kitchen, Garden & Pets",Kitchen Accessories,IRICH,195.0,5.0
Insulated Hot Fresh Casserole For Roti/Chapati - White,"Kitchen, Garden & Pets",Flask & Casserole,Cello,659.0,3.3
Granola - Happy Berries,Snacks & Branded Foods,Breakfast Cereals,Fit & Flex,245.0,3.5
Flaxseed - Pesticide Free,"Foodgrains, Oil & Masala",Dry Fruits,Safe Harvest,53.9,4.0
Paratha Puff,Snacks & Branded Foods,Frozen Veggies & Snacks,Switz,90.0,4.3
Lip Butter - Rose,Beauty & Hygiene,Skin Care,Organic Harvest,169.15,1.5
Fruit Power - Masala Sugarcane,Beverages,Fruit Juices & Drinks,Real,19.0,2.9
Chocobakes Choc Filled Cookies,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Cadbury,102.0,4.2
Amber - Deodorant Body Spray,Beauty & Hygiene,Fragrances & Deos,Old Spice,211.65,3.4
Green Tea - Tulsi Loose Leaf,Beverages,Tea,Octavius,225.0,3.7
Pet Solitaire Container Set - Silver,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,499.0,3.9
Dhania - Dal,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,98.0,4.1
Pudina Chutney Masala,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,46.75,3.9
Bodylicious Deodorant Spray - Mate (For Men),Beauty & Hygiene,Fragrances & Deos,Engage,136.5,4.1
"Sport Deo Spray - Fresh, for Men",Beauty & Hygiene,Men's Grooming,Engage,112.75,3.7
Choco Deck - Mini Delights,Snacks & Branded Foods,Chocolates & Candies,Fabelle,160.0,4.4
Eau De Toilette - Homme Green,Beauty & Hygiene,Fragrances & Deos,Colour Me,427.5,4.3
Lemon & Tea Tree Oil Soap,Beauty & Hygiene,Bath & Hand Wash,Liril,360.0,4.2
Flavoured Cream Wafer Roll - Strawberry,Gourmet & World Food,Chocolates & Biscuits,Twister,275.0,4.3
Storage/Lunch Steel Container with PP Lid - Red,"Kitchen, Garden & Pets",Steel Utensils,Classic Essentials,109.0,2.6
Plain Green Olives,Gourmet & World Food,Tinned & Processed Food,Figaro,179.0,5.0
Quinoa - Organic,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,250.0,3.9
After Shave Splash - Arctic Ice,Beauty & Hygiene,Men's Grooming,Gillette,459.62,3.9
Colour Catcher Sheets,Cleaning & Household,All Purpose Cleaners,Dylon ,799.0,4.0
Sauce - Sweet & Sour,Gourmet & World Food,"Sauces, Spreads & Dips",Pantai,245.0,3.7
Super Hot and Sweet Mango Chutney,Snacks & Branded Foods,Pickles & Chutney,Spice Story,100.0,3.0
Pani Puri Mix Paste,"Foodgrains, Oil & Masala",Masalas & Spices,Mother's Recipe,48.95,4.1
Peach Syrup,Gourmet & World Food,Drinks & Beverages,Pekers,850.0,4.2
Acne & Oil Control Face Wash,Beauty & Hygiene,Men's Grooming,Red Hunt,80.0,4.0
Choco Deck - French Dessert Inspired Layered Bar,Snacks & Branded Foods,Chocolates & Candies,Fabelle,56.0,4.0
Extra Fine Green Peas,Gourmet & World Food,Tinned & Processed Food,Daucy,202.5,4.5
Foochka,Snacks & Branded Foods,Ready To Cook & Eat,Shareat,60.0,3.9
Argan-Liquid Gold Hair Spa,Beauty & Hygiene,Hair Care,Aroma Treasures,199.5,4.4
"Baby Bed Protector - Sublimation Print, Pink",Baby Care,Baby Bath & Hygiene,Quick Dry,199.0,3.7
"Atta Chalan - Stainless Steel, Size- No.8","Kitchen, Garden & Pets",Kitchen Accessories,Kvg,149.0,3.5
Dog Supplement - Absolute Skin + Coat Tablet,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,348.6,4.0
"Peanut Butter - Creamy, Super",Gourmet & World Food,"Sauces, Spreads & Dips",Happilo,209.4,4.3
Sugar Free Petit Beurre - The Taste of France,Snacks & Branded Foods,Biscuits & Cookies,Bisk Farm,35.0,4.0
Aqua Halo Rejuvenating Conditioner,Beauty & Hygiene,Hair Care,Azafran,168.75,1.0
Dog Supplement - Absolute Calcium Tablet,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,339.15,3.9
Battery Power Kids Toothbrush - Barbie,Beauty & Hygiene,Oral Care,Colgate,374.25,4.0
